# VG;DATA INICIO OP.;TIPO TRUQUE;TIPO RODA;PAD?;PROC. FAB. RODA;DUR. RODA [HB];DATA MED.;KM;CLASSE VIDA ARO;TAPE INI.;TROCA ROD?;POS. ROR.;"ID (""CPF"") PL"
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;318516;NOVA;240;NÃO;3L;43594_HPT_0325236_3L
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;353;43594;318516;NOVA;240;NÃO;2L;43594_HPT_0325236_2L
HPT 032523-6;42262;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43594;318516;NOVA;240;NÃO;1L;43594_HPT_0325236_1L
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43606;351129;NOVA;241;NÃO;1R;43606_HPT_0325791_1R
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;352;43606;351129;NOVA;241;NÃO;2R;43606_HPT_0325791_2R
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;356;43606;351129;NOVA;242;NÃO;3R;43606_HPT_0325791_3R
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;342;43606;351129;NOVA;242;NÃO;4R;43606_HPT_0325791_4R
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;352;43606;351129;NOVA;242;NÃO;4L;43606_HPT_0325791_4L
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43606;351129;NOVA;242;NÃO;3L;43606_HPT_0325791_3L
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43606;351129;NOVA;241;NÃO;2L;43606_HPT_0325791_2L
HPT 032579-1;42279;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43606;351129;NOVA;241;NÃO;1L;43606_HPT_0325791_1L
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43606;328456;NOVA;241;NÃO;1R;43606_HPT_0325937_1R
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;342;43606;328456;NOVA;241;NÃO;2R;43606_HPT_0325937_2R
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;341;43606;328456;NOVA;241;NÃO;3R;43606_HPT_0325937_3R
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;351;43606;328456;NOVA;241;NÃO;4R;43606_HPT_0325937_4R
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;345;43606;328456;NOVA;241;NÃO;4L;43606_HPT_0325937_4L
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;341;43606;328456;NOVA;241;NÃO;3L;43606_HPT_0325937_3L
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;342;43606;328456;NOVA;241;NÃO;2L;43606_HPT_0325937_2L
HPT 032593-7;42357;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;353;43606;328456;NOVA;241;NÃO;1L;43606_HPT_0325937_1L
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43608;341814;NOVA;239;NÃO;1R;43608_HPT_0326747_1R
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;348;43608;341814;NOVA;239;NÃO;2R;43608_HPT_0326747_2R
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;368;43608;341814;NOVA;239;NÃO;3R;43608_HPT_0326747_3R
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43608;341814;NOVA;239;NÃO;4R;43608_HPT_0326747_4R
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;342;43608;341814;NOVA;239;NÃO;4L;43608_HPT_0326747_4L
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43608;341814;NOVA;239;NÃO;3L;43608_HPT_0326747_3L
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43608;341814;NOVA;239;NÃO;2L;43608_HPT_0326747_2L
HPT 032674-7;42383;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;374;43608;341814;NOVA;239;NÃO;1L;43608_HPT_0326747_1L
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43594;332736;NOVA;238;NÃO;1R;43594_HPT_0328260_1R
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;340;43594;332736;NOVA;238;NÃO;2R;43594_HPT_0328260_2R
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;332736;NOVA;238;NÃO;3R;43594_HPT_0328260_3R
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;366;43594;332736;NOVA;238;NÃO;4R;43594_HPT_0328260_4R
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;332736;NOVA;238;NÃO;4L;43594_HPT_0328260_4L
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;368;43594;332736;NOVA;238;NÃO;3L;43594_HPT_0328260_3L
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;340;43594;332736;NOVA;238;NÃO;2L;43594_HPT_0328260_2L
HPT 032826-0;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;347;43594;332736;NOVA;238;NÃO;1L;43594_HPT_0328260_1L
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;365;43594;294787;NOVA;242;NÃO;1R;43594_HPT_0326861_1R
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;341;43594;294787;NOVA;242;NÃO;2R;43594_HPT_0326861_2R
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;374;43594;294787;NOVA;241;NÃO;3R;43594_HPT_0326861_3R
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;;43594;DESCONSIDERAR;NOVA;;SIM;4R;43594_HPT_0326861_4R
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;;43594;DESCONSIDERAR;NOVA;;SIM;4L;43594_HPT_0326861_4L
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;379;43594;294787;NOVA;241;NÃO;3L;43594_HPT_0326861_3L
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;340;43594;294787;NOVA;242;NÃO;2L;43594_HPT_0326861_2L
HPT 032686-1;42387;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;370;43594;294787;NOVA;242;NÃO;1L;43594_HPT_0326861_1L
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;355;43594;305640;NOVA;242;NÃO;1R;43594_HPT_0327336_1R
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;367;43594;305640;NOVA;241;NÃO;2R;43594_HPT_0327336_2R
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43594;305640;NOVA;242;NÃO;3R;43594_HPT_0327336_3R
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43594;305640;NOVA;241;NÃO;4R;43594_HPT_0327336_4R
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;345;43594;305640;NOVA;241;NÃO;4L;43594_HPT_0327336_4L
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;305640;NOVA;242;NÃO;3L;43594_HPT_0327336_3L
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;305640;NOVA;241;NÃO;2L;43594_HPT_0327336_2L
HPT 032733-6;42398;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43594;305640;NOVA;242;NÃO;1L;43594_HPT_0327336_1L
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;297079;NOVA;241;NÃO;1R;43594_HPT_0327476_1R
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43594;297079;NOVA;241;NÃO;2R;43594_HPT_0327476_2R
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;378;43594;297079;NOVA;240;NÃO;3R;43594_HPT_0327476_3R
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43594;297079;NOVA;240;NÃO;4R;43594_HPT_0327476_4R
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;368;43594;297079;NOVA;240;NÃO;4L;43594_HPT_0327476_4L
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43594;297079;NOVA;240;NÃO;3L;43594_HPT_0327476_3L
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;378;43594;297079;NOVA;241;NÃO;2L;43594_HPT_0327476_2L
HPT 032747-6;42401;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;372;43594;297079;NOVA;241;NÃO;1L;43594_HPT_0327476_1L
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;380;43608;296892;NOVA;241;NÃO;1R;43608_HPT_0329291_1R
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;379;43608;296892;NOVA;241;NÃO;2R;43608_HPT_0329291_2R
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;363;43608;296892;NOVA;240;NÃO;3R;43608_HPT_0329291_3R
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;347;43608;296892;NOVA;240;NÃO;4R;43608_HPT_0329291_4R
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;354;43608;296892;NOVA;240;NÃO;4L;43608_HPT_0329291_4L
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;356;43608;296892;NOVA;240;NÃO;3L;43608_HPT_0329291_3L
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;378;43608;296892;NOVA;241;NÃO;2L;43608_HPT_0329291_2L
HPT 032929-1;42422;Ride Control;K36;BORRACHA ESTREITO (Retesp);FUNDIDA;364;43608;296892;NOVA;241;NÃO;1L;43608_HPT_0329291_1L
HPT 033381-6;42422;Ride Control;K36;BORRACHA ESTREITO (SCT);FUNDIDA;373;43607;278792;NOVA;239;NÃO;1R;43607_HPT_0333816_1R
HPT 033381-6;42422;Ride Control;K36;BORRACHA ESTREITO (SCT);FUNDIDA;363;43607;278792;NOVA;239;NÃO;2R;43607_HPT_0333816_2R
HPT 033381-6;42422;Ride Control;K36;BORRACHA ESTREITO (SCT);FUNDIDA;355;43607;278792;NOVA;239;NÃO;3R;43607_HPT_0333816_3R
HPT 033381-6;42422;Ride Control;K36;BORRACHA ESTREITO (SCT);FUNDIDA;372;43607;278792;NOVA;239;NÃO;4R;43607_HPT_0333816_4R
HPT 033381-6;42422;Ride Control;K36;BORRACHA ESTREITO (SCT);FUNDIDA;370;43607;278792;NOVA;239;NÃO;4L;43607_HPT_0333816_4L
HPT 033381-6;42422;Ride Control;K36;BORRACHA ESTREITO (SCT);FUNDIDA;358;43607;278792;NOVA;239;NÃO;3L;43607_HPT_0333816_3L
